INDEX	skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	item proc text	item proc descline count	___eol	str name__STR	
224	emotewheel	0	0	0	0	2		5382	SkillDescEmoteWheel	SkillDescEmoteWheel	SkillNameEmoteWheel																																																																																																													0	SkillNameEmoteWheel	
225	swapweapons	0	0	0	0	2		5382	SkillDescSwapWeapons	SkillDescSwapWeapons	SkillNameSwapWeapons																																																																																																													0	SkillNameSwapWeapons	
226	map	0	0	0	0	2		5382	SkillDescMap	SkillDescMap	SkillNameMap																																																																																																													0	SkillNameMap	
227	showitems	0	0	0	0	2		5382	SkillDescShowItems	SkillDescShowItems	SkillNameShowItems																																																																																																													0	SkillNameShowItems	
228	runtoggle	0	0	0	0	2		5382	SkillDescRunToggle	SkillDescRunToggle	SkillNameRunToggle																																																																																																													0	SkillNameRunToggle	
229	warp	0	0	0	0	44		56000	skillld54	skillld54	SkillNameWarp																	36	StrSkill3		max(usmc, 1)	256	36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	75	25																																																																																			0	SkillNameWarp	
230	cubeloot	0	0	0	0	2		5382	SkillDescCubeLoot	SkillDescCubeLoot	SkillNameCubeLoot																																																																																																													0	SkillNameCubeLoot	
231	mark of the bear	0	0	0	0	2		27369	SkillnameMetamorphosisBear	SkillnameMetamorphosisBear	SkillnameMetamorphosisBear																	74	ModStr2uPercent		par2		74	ModStr6l		par1		12	StrSkill0		len																																																																													SkillItemMetamorphosisBear	3	0	SkillnameMetamorphosisBear	
232	mark of the wolf	0	0	0	0	2		27370	SkillnameMetamorphosisWolf	SkillnameMetamorphosisWolf	SkillnameMetamorphosisWolf																	74	ModStr2g		par2		74	ModStr4c		par1		12	StrSkill0		len																																																																													SkillItemMetamorphosisWolf	3	0	SkillnameMetamorphosisWolf	
233	weight system	0	0	0	0	0		56026	charmweight1	charmweight1	charmweight1																																																																																																													0	charmweight1	
234	polar claws	0	0	0	2	40		56044	SkillDesc420	SkillDesc420	Skillname420	5												1				75	StrSkill6		enma	exma	74	StrSkill22		toht																						36	StrSkill3		usmc	256																					40	Sksyn	Skillname240	2		76	Firedplev	Skillname226	par8		76	Firedplev	Skillname230	par8																								0	Skillname420	
235	polarbear	0	0	0	2	42		56045	SkillDesc421	SkillDesc421	Skillname421																	74	StrSkill21		ln34		74	StrSkillDamagePercent		ln12																										25	74	StrSkill100		par5 + skill('Shape Shifting'.ln34)		36	StrSkill3		usmc	256											40	Sksyn	Skillname229	2		18	Skillname225																															0	Skillname421	
236	splash damage	0	0	0	0	0		48048	splash1	splash1	splash1																																																																																																													0	splash1	
